"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"565478","2006","MD","Maryland","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","9.7","","","8.7","10.7","865","Overall","Overall","INCOME","23","23","","","","","",""
"565479","2006","MD","Maryland","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","8.5","","","7.6","9.4","716","Overall","Overall","INCOME","23","23","","","","","",""
"565480","2006","MD","Maryland","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","13.7","","","12.6","14.8","1068","Overall","Overall","INCOME","23","23","","","","","",""
"565481","2006","MD","Maryland","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","62.3","","","60.7","63.9","4362","Overall","Overall","INCOME","23","23","","","","","",""
"568028","2006","MA","Massachusetts","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","7.6","","","6.9","8.3","1355","Overall","Overall","INCOME","24","24","","","","","",""
"568029","2006","MA","Massachusetts","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","11.4","","","10.5","12.3","1624","Overall","Overall","INCOME","24","24","","","","","",""
"568030","2006","MA","Massachusetts","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","8.9","","","8.0","9.8","1074","Overall","Overall","INCOME","24","24","","","","","",""
"568031","2006","MA","Massachusetts","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","12.8","","","11.9","13.7","1447","Overall","Overall","INCOME","24","24","","","","","",""
"568032","2006","MA","Massachusetts","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","59.4","","","57.9","60.9","5010","Overall","Overall","INCOME","24","24","","","","","",""
"569598","2006","MI","Michigan","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","8.2","","","7.2","9.2","488","Overall","Overall","INCOME","25","25","","","","","",""
"569599","2006","MI","Michigan","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","13.4","","","12.2","14.6","712","Overall","Overall","INCOME","25","25","","","","","",""
"569600","2006","MI","Michigan","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","13.3","","","12.0","14.6","644","Overall","Overall","INCOME","25","25","","","","","",""
"569601","2006","MI","Michigan","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","16.3","","","15.0","17.6","811","Overall","Overall","INCOME","25","25","","","","","",""
"569602","2006","MI","Michigan","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","48.8","","","47.0","50.6","2158","Overall","Overall","INCOME","25","25","","","","","",""
"571371","2006","MN","Minnesota","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","6.4","","","5.4","7.4","292","Overall","Overall","INCOME","26","26","","","","","",""
"571372","2006","MN","Minnesota","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","12.3","","","11.0","13.6","560","Overall","Overall","INCOME","26","26","","","","","",""
"571373","2006","MN","Minnesota","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","10.5","","","9.3","11.7","444","Overall","Overall","INCOME","26","26","","","","","",""
"571374","2006","MN","Minnesota","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","16.6","","","15.2","18.0","659","Overall","Overall","INCOME","26","26","","","","","",""
