city,country,latitude,longitude,name,postalCode,province
West Chester,US,39.3514,-84.36399999999999,Pizza Hut,45069,OH
Loves Park,US,42.3175,-89.0584,McDonald's,61111,IL
Elmhurst,US,41.8925,-87.9617,Chick-fil-A,60126,IL
Naperville,US,41.7961,-88.1242,Panera Bread,60563,IL
Urbana,US,40.1167,-88.2176,Subway,61801,IL
Philadelphia,US,39.9541,-75.1685,Panda Express,19103,PA
Buckeye,US,33.43441,-112.55611,Burger King,85326,AZ
Naples,US,26.1239,-81.76,Subway,34112,FL
West Palm Beach,US,26.6982,-80.1113,Jon Smith Subs,33409,FL
Colorado Springs,US,38.8958,-104.7483,Sonic Drive-In,80918,CO
Mesa,US,33.326190000000004,-111.68721000000001,Chick-fil-A,85212,AZ
Gustine,US,37.1038,-121.0153,Taco Bell,95322,CA
Apache Junction,US,33.41465,-111.59745,Subway,85120,AZ
Mesa,US,33.3938,-111.68931,Subway,85206,AZ
San Jose,US,37.2413,-121.9047,Round Table Pizza,95124,CA
Sierra Vista,US,31.553890000000003,-110.30153999999999,BLIMPIE,85635,AZ
Gilbert,US,33.262440000000005,-111.75561,Little Caesars Pizza,85298,AZ
Gold Canyon,US,33.35921,-111.46936000000001,McDonald's,85118,AZ
Phoenix,US,33.5657,-112.06463000000001,McDonald's,85020,AZ
Phoenix,US,33.421040000000005,-112.22301999999999,McDonald's,85043,AZ
Phoenix,US,33.30473,-111.99508999999999,McDonald's,85048,AZ
Phoenix,US,33.33115,-111.98147,McDonald's,85044,AZ
Mesa,US,33.32025,-111.6862,McDonald's,85212,AZ
Phoenix,US,33.65509,-112.13346000000001,McDonald's,85027,AZ
Phoenix,US,33.49481,-112.12793,McDonald's,85017,AZ
Casa Grande,US,32.93951,-111.75586000000001,McDonald's,85122,AZ
Huntsville,US,34.8058,-86.5198,Jack's,35811,AL
Beltsville,US,39.0322,-76.9121,Taco Bell,20705,MD
Auburn Hills,US,42.6598,-83.2463,Taco Bell,48326,MI
